,Title,Published_date,Views,Likes,Favourite,Comments,Month
137,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7478,254,0,34,Sep
138,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5112,196,0,56,Sep
139,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4307,157,0,35,Sep
140,The 5 Pillars of Success I Live By,2020-09-11,10144,873,0,152,Sep
141,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1891,78,0,25,Sep
142,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4046,163,0,43,Sep
143,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11838,739,0,144,Sep
144,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18009,573,0,89,Sep
145,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18079,795,0,93,Aug
146,Why I'm Starting Data Science Over Again.,2020-08-29,50771,2602,0,450,Aug
147,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15232,634,0,77,Aug
148,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,13022,467,0,55,Aug
149,Don't Buy My Course..,2020-08-21,7344,360,0,146,Aug
150,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29124,1115,0,166,Aug
151,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3245,128,0,40,Aug
152,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6331,539,0,108,Aug
153,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5025,183,0,39,Aug
154,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,12613,398,0,53,Aug
155,The Plagiarism Problem in Data Science,2020-08-07,13082,628,0,145,Aug
156,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14447,602,0,89,Aug
157,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4923,186,0,56,Aug
158,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11454,581,0,90,Jul
159,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2323,116,0,34,Jul
160,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5649,250,0,112,Jul
161,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8228,247,0,199,Jul
162,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1860,98,0,27,Jul
163,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29225,567,0,90,Jul
164,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,337992,7441,0,431,Jul
165,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30345,1125,0,121,Jul
166,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3644,135,0,50,Jul
167,The Best Computer for Data Science Beginners,2020-07-10,38570,858,0,158,Jul
168,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6169,231,0,82,Jul
169,Critiquing MY OWN Data Science Resume,2020-07-06,12691,398,0,88,Jul
170,Where to Start Learning Data Science,2020-07-03,18858,782,0,127,Jul
171,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4164,198,0,35,Jul
172,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4608,176,0,52,Jun
173,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16538,552,0,79,Jun
174,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2419,82,0,40,Jun
175,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2386,139,0,49,Jun
176,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4381,168,0,46,Jun
177,Why You're Struggling to Learn Data Science,2020-06-12,15270,1009,0,159,Jun
178,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11887,359,0,70,Jun
179,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23978,686,0,146,Jun
180,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5710,154,0,53,Jun
181,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,73648,2211,0,270,May
182,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20989,489,0,81,May
183,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,55724,1981,0,178,May
184,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11257,178,0,53,May
185,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,132150,4472,0,193,May
186,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3100,147,0,115,May
187,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4531,153,0,74,May
188,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1396044,49009,0,1993,May
189,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5563,196,0,42,May
190,What You Need to Know for a Data Science Internship,2020-05-01,22302,1209,0,60,May
191,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8371,350,0,54,Apr
192,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14986,457,0,103,Apr
193,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3144,85,0,24,Apr
194,5 Tips for Crushing the Work From Home Life,2020-04-20,5430,203,0,38,Apr
195,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,21766,739,0,129,Apr
196,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,29775,733,0,98,Apr
